observation_id,organism,antibiotic,facility,region,month,tested_isolates,resistant_isolates,resistance_rate,previous_resistance_rate,resistance_change,rolling_mean,rolling_std,trend_slope,facility_count,reporting_volume,threshold_distance,target_risk
OBS-00366,Enterococcus faecium,Ciprofloxacin,Metro West Community Clinic,Metro North,2025-11,217,59,27.0,27.0,-0.0,26.7,0.9,-0.38,8,1871,-3.0,0
OBS-00367,Klebsiella pneumoniae,Ciprofloxacin,North Suburbs Health Zone,Metro Central,2026-08,246,141,57.2,41.3,15.9,44.8,8.7,5.51,7,2093,22.2,1
OBS-00368,Enterococcus faecium,Vancomycin,St. Jude General Hospital,Metro Central,2026-04,373,96,25.7,22.9,2.8,24.4,1.8,1.29,7,2802,-4.3,0
OBS-00369,Escherichia coli,Vancomycin,Valley Health District,West District,2025-11,193,58,30.3,27.8,2.5,27.7,2.0,0.98,7,1476,-9.7,0
OBS-00370,Escherichia coli,Ciprofloxacin,Metro West Community Clinic,Metro Central,2026-02,460,212,46.1,46.7,-0.6,46.1,1.0,-0.95,6,2945,6.1,0
OBS-00371,Acinetobacter baumannii,Ampicillin,St. Jude General Hospital,Metro North,2026-02,187,55,29.6,35.0,-5.4,35.1,3.5,-1.42,7,1675,4.6,0
OBS-00372,Escherichia coli,Ampicillin,Eastside Medical Center,Metro North,2025-10,315,221,70.2,45.7,24.5,51.7,9.5,7.91,8,2760,30.2,1
OBS-00373,Pseudomonas aeruginosa,Vancomycin,North Suburbs Health Zone,Metro Central,2026-01,347,103,29.8,25.6,4.3,25.0,2.6,1.53,3,1317,-0.2,0
OBS-00374,Enterococcus faecium,Ampicillin,Metro West Community Clinic,Metro Central,2026-01,256,76,29.6,27.1,2.4,28.6,2.8,1.88,8,2306,-0.4,0
OBS-00375,Pseudomonas aeruginosa,Vancomycin,St. Jude General Hospital,Metro North,2025-11,558,238,42.6,19.8,22.8,21.6,10.4,7.55,5,3046,12.6,1
OBS-00376,Escherichia coli,Meropenem,University Hospital Center,Metro North,2025-10,73,44,60.1,39.6,20.5,45.6,9.9,7.53,4,575,20.1,1
OBS-00377,Pseudomonas aeruginosa,Vancomycin,North Suburbs Health Zone,West District,2026-08,71,14,20.2,25.6,-5.4,24.2,4.0,-2.14,2,315,-9.8,0
OBS-00378,Klebsiella pneumoniae,Vancomycin,North Suburbs Health Zone,East District,2026-03,304,131,42.9,42.2,0.7,44.6,2.4,0.48,3,1008,7.9,0
OBS-00379,Klebsiella pneumoniae,Vancomycin,Metro West Community Clinic,Metro North,2026-01,251,82,32.7,31.8,0.9,30.8,2.4,-0.23,4,1191,-2.3,0
OBS-00380,Enterococcus faecium,Ciprofloxacin,North Suburbs Health Zone,Metro North,2026-08,48,8,16.2,23.2,-7.0,22.5,4.0,-2.83,3,308,-13.8,0
OBS-00381,Pseudomonas aeruginosa,Gentamicin,Valley Health District,East District,2026-04,397,82,20.8,25.7,-4.9,24.2,4.7,-1.93,7,3064,-9.2,0
OBS-00382,Enterococcus faecium,Ceftriaxone,Metro West Community Clinic,West District,2026-07,47,18,38.6,28.8,9.8,31.4,5.3,3.19,2,405,8.6,1
OBS-00383,Pseudomonas aeruginosa,Ceftriaxone,Valley Health District,East District,2026-02,533,129,24.3,26.7,-2.4,25.7,3.0,-1.12,2,1148,-5.7,0
OBS-00384,Pseudomonas aeruginosa,Vancomycin,Eastside Medical Center,East District,2026-08,232,67,28.8,24.9,4.0,25.0,3.3,1.07,5,1286,-1.2,0
OBS-00385,Escherichia coli,Vancomycin,Metro West Community Clinic,West District,2026-08,183,22,12.2,17.6,-5.3,16.9,4.3,-1.56,6,1161,-27.8,0
OBS-00386,Pseudomonas aeruginosa,Ampicillin,North Suburbs Health Zone,West District,2026-09,234,72,30.7,32.4,-1.7,32.2,3.2,-0.81,1,459,0.7,0
OBS-00387,Acinetobacter baumannii,Gentamicin,North Suburbs Health Zone,East District,2026-06,214,69,32.4,35.3,-2.9,31.5,2.1,-1.25,5,1456,7.4,0
OBS-00388,Escherichia coli,Ampicillin,University Hospital Center,East District,2026-09,383,219,57.2,44.2,13.0,46.0,5.6,4.54,3,1534,17.2,1
OBS-00389,Pseudomonas aeruginosa,Ampicillin,Eastside Medical Center,East District,2026-02,514,145,28.1,23.7,4.5,26.3,3.4,1.46,5,2680,-1.9,0
OBS-00390,Acinetobacter baumannii,Ceftriaxone,Metro West Community Clinic,Metro Central,2026-05,552,226,40.9,38.2,2.7,39.1,3.4,1.05,4,2319,15.9,0
OBS-00391,Pseudomonas aeruginosa,Ampicillin,St. Jude General Hospital,Metro North,2025-12,390,119,30.5,30.1,0.4,29.1,1.3,0.12,4,1819,0.5,0
OBS-00392,Staphylococcus aureus,Meropenem,Eastside Medical Center,Metro North,2025-11,380,104,27.3,27.5,-0.2,24.6,2.4,-0.85,8,3413,-12.7,0
OBS-00393,Escherichia coli,Ciprofloxacin,North Suburbs Health Zone,East District,2026-01,202,83,41.1,37.9,3.2,40.4,4.2,0.81,3,906,1.1,0
OBS-00394,Klebsiella pneumoniae,Ceftriaxone,North Suburbs Health Zone,West District,2026-04,528,407,77.2,55.8,21.4,58.6,10.4,6.7,7,3942,42.2,1
OBS-00395,Escherichia coli,Colistin,Metro West Community Clinic,Metro North,2025-10,294,125,42.5,43.1,-0.7,43.4,3.5,-0.13,1,459,2.5,0
OBS-00396,Klebsiella pneumoniae,Ciprofloxacin,North Suburbs Health Zone,East District,2025-12,86,15,17.6,19.8,-2.2,16.6,3.2,-0.26,2,374,-17.4,0
OBS-00397,Acinetobacter baumannii,Ceftriaxone,Metro West Community Clinic,East District,2026-04,390,205,52.5,48.3,4.1,47.5,3.4,1.2,3,1470,27.5,0
OBS-00398,Staphylococcus aureus,Ciprofloxacin,University Hospital Center,Metro North,2026-09,256,44,17.1,18.4,-1.3,18.2,3.0,-0.5,3,829,-22.9,0
OBS-00399,Pseudomonas aeruginosa,Gentamicin,Valley Health District,Metro Central,2026-04,587,224,38.2,20.5,17.7,23.7,7.8,6.29,5,3304,8.2,1
OBS-00400,Enterococcus faecium,Vancomycin,St. Jude General Hospital,Metro Central,2026-09,466,158,33.8,37.9,-4.1,36.2,4.9,-0.61,2,1209,3.8,0
OBS-00401,Staphylococcus aureus,Gentamicin,University Hospital Center,Metro North,2026-09,348,85,24.5,24.5,0.0,22.7,0.9,0.22,1,613,-15.5,0
OBS-00402,Pseudomonas aeruginosa,Ceftriaxone,Metro West Community Clinic,Metro North,2026-04,563,43,7.7,25.1,-17.4,19.9,7.0,-5.94,2,1492,-22.3,0
OBS-00403,Klebsiella pneumoniae,Ceftriaxone,University Hospital Center,East District,2026-06,406,167,41.2,35.4,5.8,37.4,3.1,1.82,4,1883,6.2,0
OBS-00404,Staphylococcus aureus,Meropenem,Valley Health District,West District,2026-03,42,13,29.9,28.9,1.0,29.4,3.4,0.69,4,224,-10.1,0
OBS-00405,Acinetobacter baumannii,Gentamicin,North Suburbs Health Zone,Metro North,2025-11,143,55,38.7,36.9,1.8,34.9,2.9,0.15,2,467,13.7,0
OBS-00406,Pseudomonas aeruginosa,Colistin,North Suburbs Health Zone,Metro Central,2025-11,80,18,22.5,26.5,-3.9,28.0,4.4,-1.2,3,438,-7.5,0
OBS-00407,Staphylococcus aureus,Gentamicin,St. Jude General Hospital,Metro Central,2025-10,181,12,6.7,8.4,-1.7,6.9,1.6,-0.82,1,570,-33.3,0
OBS-00408,Staphylococcus aureus,Ceftriaxone,Eastside Medical Center,Metro Central,2026-03,227,27,12.0,14.9,-2.8,14.4,2.7,-0.74,6,1470,-28.0,0
OBS-00409,Pseudomonas aeruginosa,Vancomycin,North Suburbs Health Zone,West District,2026-04,155,27,17.5,16.4,1.0,19.7,2.5,-0.03,3,582,-12.5,0
OBS-00410,Klebsiella pneumoniae,Ciprofloxacin,North Suburbs Health Zone,West District,2026-07,225,100,44.3,40.9,3.3,44.5,2.5,1.55,8,2162,9.3,1
OBS-00411,Escherichia coli,Vancomycin,Valley Health District,Metro North,2026-05,155,44,28.1,28.3,-0.2,32.2,1.5,-0.67,8,1500,-11.9,0
OBS-00412,Enterococcus faecium,Colistin,St. Jude General Hospital,Metro North,2026-08,571,191,33.5,27.1,6.4,27.9,5.2,2.25,6,3743,3.5,1
OBS-00413,Staphylococcus aureus,Gentamicin,Valley Health District,Metro North,2026-05,434,158,36.4,37.5,-1.1,37.8,2.5,-0.38,6,2730,-3.6,0
OBS-00414,Acinetobacter baumannii,Ciprofloxacin,St. Jude General Hospital,Metro North,2026-06,547,316,57.8,40.6,17.3,45.6,7.6,6.02,8,4510,32.8,1
OBS-00415,Pseudomonas aeruginosa,Ciprofloxacin,Metro West Community Clinic,Metro North,2026-06,452,165,36.6,19.2,17.4,19.5,8.4,7.06,7,3334,6.6,1
OBS-00416,Escherichia coli,Vancomycin,North Suburbs Health Zone,West District,2026-03,549,353,64.3,41.6,22.7,45.6,10.3,8.03,2,1482,24.3,0
OBS-00417,Acinetobacter baumannii,Ciprofloxacin,St. Jude General Hospital,East District,2026-06,507,181,35.7,36.0,-0.3,37.4,2.3,0.16,4,2252,10.7,0
OBS-00418,Klebsiella pneumoniae,Vancomycin,North Suburbs Health Zone,East District,2026-06,412,215,52.2,39.9,12.3,45.3,7.1,4.0,8,3577,17.2,1
OBS-00419,Pseudomonas aeruginosa,Colistin,Valley Health District,East District,2026-06,148,30,20.4,18.8,1.6,17.7,3.5,-0.02,6,961,-9.6,0
OBS-00420,Enterococcus faecium,Gentamicin,Valley Health District,West District,2025-11,240,104,43.2,17.8,25.4,21.9,9.7,8.25,5,1346,13.2,1
OBS-00421,Klebsiella pneumoniae,Gentamicin,Eastside Medical Center,Metro Central,2026-04,166,81,48.6,46.6,2.0,48.0,1.9,0.99,1,446,13.6,0
OBS-00422,Acinetobacter baumannii,Meropenem,North Suburbs Health Zone,Metro Central,2026-06,483,241,49.9,45.5,4.4,47.5,4.6,1.16,1,832,24.9,0
OBS-00423,Klebsiella pneumoniae,Gentamicin,Metro West Community Clinic,Metro North,2026-09,146,55,37.4,40.1,-2.7,39.5,2.8,-1.17,3,686,2.4,0
OBS-00424,Pseudomonas aeruginosa,Ceftriaxone,North Suburbs Health Zone,West District,2026-07,320,68,21.3,23.8,-2.6,22.9,3.9,-0.85,4,1533,-8.7,0
OBS-00425,Staphylococcus aureus,Vancomycin,University Hospital Center,Metro North,2026-04,600,215,35.9,37.3,-1.4,36.7,2.6,-0.2,5,3210,-4.1,0
OBS-00426,Enterococcus faecium,Meropenem,University Hospital Center,Metro North,2026-07,393,178,45.2,32.5,12.7,34.8,6.0,3.95,5,2359,15.2,1
OBS-00427,Klebsiella pneumoniae,Ceftriaxone,Metro West Community Clinic,East District,2026-09,400,109,27.2,30.3,-3.1,30.9,2.8,-1.11,2,1137,-7.8,0
OBS-00428,Enterococcus faecium,Gentamicin,North Suburbs Health Zone,East District,2026-04,575,6,1.0,12.7,-11.7,10.1,7.5,-4.56,1,679,-29.0,0
OBS-00429,Klebsiella pneumoniae,Colistin,University Hospital Center,East District,2026-08,189,89,47.2,50.0,-2.8,50.0,4.2,-2.14,5,1026,12.2,0
OBS-00430,Acinetobacter baumannii,Ciprofloxacin,Eastside Medical Center,West District,2025-11,438,203,46.3,39.8,6.5,43.0,3.3,1.72,4,1923,21.3,1
OBS-00431,Enterococcus faecium,Colistin,Valley Health District,Metro Central,2026-04,466,160,34.4,31.3,3.2,32.7,4.1,1.49,7,3662,4.4,1
OBS-00432,Escherichia coli,Gentamicin,Eastside Medical Center,Metro North,2026-07,270,150,55.7,54.1,1.6,53.6,2.1,-0.2,8,2534,15.7,0
OBS-00433,Acinetobacter baumannii,Ceftriaxone,Valley Health District,Metro North,2026-09,341,176,51.6,37.7,13.9,39.7,7.7,4.69,4,1643,26.6,1
OBS-00434,Klebsiella pneumoniae,Gentamicin,Metro West Community Clinic,Metro Central,2026-04,478,153,32.0,31.7,0.3,33.2,1.1,-0.31,1,670,-3.0,0
OBS-00435,Acinetobacter baumannii,Vancomycin,Eastside Medical Center,Metro Central,2026-03,198,124,62.7,46.3,16.4,48.2,6.8,4.93,8,1654,37.7,1
OBS-00436,Enterococcus faecium,Ceftriaxone,Valley Health District,East District,2026-05,114,19,17.0,18.4,-1.5,19.5,3.5,-0.56,6,896,-13.0,0
OBS-00437,Acinetobacter baumannii,Ciprofloxacin,Metro West Community Clinic,Metro North,2026-04,134,63,46.9,47.4,-0.6,48.5,3.6,-0.09,7,1166,21.9,0
OBS-00438,Pseudomonas aeruginosa,Colistin,Eastside Medical Center,East District,2026-01,49,6,12.0,20.3,-8.3,18.5,5.4,-2.56,8,500,-18.0,0
OBS-00439,Enterococcus faecium,Ceftriaxone,Metro West Community Clinic,Metro North,2025-10,430,83,19.3,18.5,0.9,18.7,3.2,0.34,6,2688,-10.7,0
OBS-00440,Pseudomonas aeruginosa,Ciprofloxacin,Metro West Community Clinic,East District,2026-06,538,132,24.6,26.6,-2.0,25.7,3.6,-0.84,8,4376,-5.4,0
OBS-00441,Pseudomonas aeruginosa,Ceftriaxone,St. Jude General Hospital,Metro Central,2025-12,107,30,27.7,26.1,1.6,26.3,2.7,-0.04,1,264,-2.3,0
OBS-00442,Enterococcus faecium,Ampicillin,St. Jude General Hospital,Metro North,2026-06,113,24,21.6,6.6,14.9,7.5,6.2,4.4,7,919,-8.4,0
OBS-00443,Escherichia coli,Ciprofloxacin,University Hospital Center,East District,2026-06,273,92,33.7,28.4,5.3,29.9,3.2,1.89,2,728,-6.3,0
OBS-00444,Staphylococcus aureus,Ampicillin,Eastside Medical Center,Metro Central,2026-04,587,194,33.1,25.6,7.6,26.7,5.3,2.68,2,1227,-6.9,0
OBS-00445,Enterococcus faecium,Ceftriaxone,St. Jude General Hospital,Metro Central,2026-03,336,53,15.6,12.6,3.1,13.7,3.9,0.67,2,876,-14.4,0
OBS-00446,Staphylococcus aureus,Ampicillin,North Suburbs Health Zone,Metro Central,2026-05,586,354,60.4,42.9,17.5,44.4,8.9,5.91,3,1920,20.4,1
OBS-00447,Acinetobacter baumannii,Colistin,Valley Health District,Metro North,2026-02,51,17,33.6,36.5,-2.9,33.8,2.0,-0.95,6,639,8.6,0
OBS-00448,Escherichia coli,Ciprofloxacin,Metro West Community Clinic,West District,2026-06,352,94,26.8,24.0,2.8,23.8,1.8,0.32,2,861,-13.2,0
OBS-00449,Pseudomonas aeruginosa,Meropenem,North Suburbs Health Zone,Metro North,2025-12,266,41,15.4,15.9,-0.6,11.9,2.1,0.77,3,1163,-14.6,0
OBS-00450,Klebsiella pneumoniae,Gentamicin,Metro West Community Clinic,Metro Central,2026-06,114,52,46.0,45.8,0.1,45.5,3.4,0.84,8,1110,11.0,0
OBS-00451,Klebsiella pneumoniae,Gentamicin,Metro West Community Clinic,West District,2026-03,171,75,44.1,40.2,3.9,39.9,4.3,1.48,6,1419,9.1,1
OBS-00452,Acinetobacter baumannii,Ciprofloxacin,University Hospital Center,East District,2026-05,376,153,40.8,38.2,2.6,39.6,2.0,1.26,8,3373,15.8,1
OBS-00453,Klebsiella pneumoniae,Ceftriaxone,Metro West Community Clinic,East District,2026-03,212,49,23.2,30.6,-7.4,29.5,4.4,-2.4,7,1536,-11.8,0
OBS-00454,Enterococcus faecium,Gentamicin,Valley Health District,West District,2026-02,177,46,26.2,25.4,0.8,25.9,3.2,-0.64,6,1459,-3.8,0
OBS-00455,Staphylococcus aureus,Ampicillin,Eastside Medical Center,East District,2026-05,219,38,17.6,18.8,-1.2,18.3,1.8,-0.44,2,818,-22.4,0
OBS-00456,Klebsiella pneumoniae,Ceftriaxone,University Hospital Center,East District,2026-09,117,25,21.2,21.6,-0.4,24.0,1.1,0.08,2,293,-13.8,0
OBS-00457,Acinetobacter baumannii,Ceftriaxone,North Suburbs Health Zone,Metro North,2025-10,596,226,38.0,38.5,-0.5,37.4,1.6,-0.32,5,3306,13.0,0
OBS-00458,Pseudomonas aeruginosa,Ampicillin,University Hospital Center,East District,2025-12,553,239,43.2,22.5,20.7,27.2,8.4,7.47,8,4735,13.2,0
OBS-00459,Klebsiella pneumoniae,Vancomycin,Metro West Community Clinic,Metro North,2026-06,496,300,60.4,43.0,17.4,48.2,8.7,5.48,3,1619,25.4,1
OBS-00460,Klebsiella pneumoniae,Gentamicin,Valley Health District,West District,2026-03,264,65,24.8,25.4,-0.6,26.0,2.3,-0.07,1,563,-10.2,0
OBS-00461,Klebsiella pneumoniae,Ciprofloxacin,Valley Health District,Metro North,2026-06,437,177,40.6,44.2,-3.6,43.2,4.6,-1.84,6,2912,5.6,0
OBS-00462,Escherichia coli,Gentamicin,Eastside Medical Center,Metro Central,2026-09,309,126,40.8,33.5,7.3,34.9,3.6,2.77,5,1891,0.8,1
OBS-00463,Enterococcus faecium,Ampicillin,Eastside Medical Center,Metro Central,2026-06,425,119,27.9,20.1,7.9,18.8,4.7,2.06,5,2289,-2.1,0
OBS-00464,Pseudomonas aeruginosa,Ampicillin,North Suburbs Health Zone,Metro Central,2026-06,490,106,21.6,22.9,-1.3,23.5,3.8,-0.41,3,1604,-8.4,0
OBS-00465,Pseudomonas aeruginosa,Meropenem,University Hospital Center,Metro North,2025-12,161,42,26.4,27.7,-1.3,25.0,2.9,-0.36,6,1354,-3.6,0
OBS-00466,Enterococcus faecium,Ciprofloxacin,North Suburbs Health Zone,West District,2026-05,205,44,21.4,19.7,1.7,20.1,3.4,0.53,4,1201,-8.6,1
OBS-00467,Escherichia coli,Meropenem,Metro West Community Clinic,Metro North,2025-12,190,84,44.1,22.1,22.1,27.5,10.3,6.85,1,268,4.1,1
OBS-00468,Staphylococcus aureus,Ceftriaxone,Metro West Community Clinic,Metro Central,2026-09,127,37,28.8,32.8,-4.0,32.0,2.2,-0.71,5,795,-11.2,0
OBS-00469,Staphylococcus aureus,Meropenem,University Hospital Center,West District,2026-07,226,39,17.3,15.0,2.3,16.8,3.6,0.59,3,1047,-22.7,0
OBS-00470,Enterococcus faecium,Gentamicin,Eastside Medical Center,West District,2026-07,275,58,20.9,23.8,-2.9,23.2,3.6,-1.16,2,793,-9.1,0
OBS-00471,Klebsiella pneumoniae,Ceftriaxone,Metro West Community Clinic,West District,2025-12,221,71,32.4,34.4,-2.1,35.1,4.2,-0.77,2,735,-2.6,0
OBS-00472,Acinetobacter baumannii,Ceftriaxone,St. Jude General Hospital,Metro Central,2026-05,592,113,19.1,24.6,-5.4,23.8,5.3,-1.74,3,1826,-5.9,0
OBS-00473,Enterococcus faecium,Ampicillin,Metro West Community Clinic,West District,2026-03,582,80,13.8,10.1,3.7,9.8,3.6,1.55,1,851,-16.2,0
OBS-00474,Staphylococcus aureus,Colistin,Metro West Community Clinic,Metro Central,2026-04,300,127,42.4,46.5,-4.2,44.6,4.7,-1.64,3,1194,2.4,0
OBS-00475,Escherichia coli,Colistin,Metro West Community Clinic,West District,2026-02,45,13,29.0,32.1,-3.1,30.9,4.5,-0.76,4,233,-11.0,0
OBS-00476,Escherichia coli,Ampicillin,Valley Health District,Metro North,2026-09,458,182,39.8,19.7,20.1,26.7,9.2,6.38,6,2983,-0.2,1
OBS-00477,Pseudomonas aeruginosa,Vancomycin,Metro West Community Clinic,West District,2026-07,322,115,35.6,32.7,2.9,32.8,4.4,0.89,6,2330,5.6,0
OBS-00478,Acinetobacter baumannii,Vancomycin,Metro West Community Clinic,West District,2025-12,535,251,47.0,47.2,-0.2,49.4,2.2,0.1,6,3389,22.0,0
OBS-00479,Enterococcus faecium,Ampicillin,Valley Health District,Metro North,2026-08,275,35,12.7,14.4,-1.7,12.5,3.7,-1.61,2,828,-17.3,0
OBS-00480,Escherichia coli,Meropenem,Metro West Community Clinic,West District,2026-03,204,72,35.3,33.6,1.7,34.5,2.3,0.98,1,453,-4.7,1
OBS-00481,Escherichia coli,Vancomycin,University Hospital Center,West District,2026-07,130,45,34.8,37.9,-3.1,37.9,4.2,-1.74,7,992,-5.2,0
OBS-00482,Acinetobacter baumannii,Ciprofloxacin,Valley Health District,West District,2026-04,98,39,39.6,41.2,-1.6,40.8,1.7,-0.26,5,629,14.6,0
OBS-00483,Klebsiella pneumoniae,Vancomycin,Valley Health District,East District,2026-01,562,57,10.1,12.4,-2.4,10.4,2.5,-0.53,1,876,-24.9,0
OBS-00484,Enterococcus faecium,Ciprofloxacin,Eastside Medical Center,Metro North,2026-08,201,37,18.3,15.8,2.5,17.0,2.8,0.41,1,295,-11.7,0
OBS-00485,Pseudomonas aeruginosa,Gentamicin,North Suburbs Health Zone,West District,2026-07,570,106,18.6,15.4,3.2,16.9,2.4,1.38,4,2337,-11.4,0
OBS-00486,Escherichia coli,Ceftriaxone,Eastside Medical Center,East District,2026-03,271,76,28.1,30.0,-1.9,31.7,3.1,-0.87,5,1715,-11.9,0
OBS-00487,Staphylococcus aureus,Ceftriaxone,St. Jude General Hospital,East District,2025-12,558,219,39.3,32.7,6.5,34.6,3.5,2.33,7,4010,-0.7,0
OBS-00488,Pseudomonas aeruginosa,Ciprofloxacin,Metro West Community Clinic,East District,2026-06,493,191,38.7,36.2,2.5,34.5,2.5,1.22,5,2708,8.7,1
OBS-00489,Pseudomonas aeruginosa,Vancomycin,North Suburbs Health Zone,West District,2026-07,533,169,31.7,31.4,0.3,30.1,2.3,0.34,1,642,1.7,0
OBS-00490,Klebsiella pneumoniae,Gentamicin,Valley Health District,Metro North,2026-03,401,153,38.2,36.2,2.1,37.9,3.5,1.03,7,3121,3.2,0
OBS-00491,Pseudomonas aeruginosa,Meropenem,Eastside Medical Center,Metro Central,2026-04,117,33,28.4,24.4,4.0,26.6,4.5,1.67,6,1035,-1.6,0
OBS-00492,Pseudomonas aeruginosa,Meropenem,Metro West Community Clinic,East District,2025-12,550,101,18.3,20.1,-1.8,18.1,2.3,-0.18,4,2352,-11.7,0
OBS-00493,Pseudomonas aeruginosa,Meropenem,University Hospital Center,Metro North,2026-01,199,25,12.6,32.5,-19.9,28.5,8.8,-6.37,6,1298,-17.4,0
OBS-00494,Staphylococcus aureus,Ceftriaxone,St. Jude General Hospital,Metro Central,2026-05,362,122,33.8,35.5,-1.7,34.0,1.5,0.01,6,2474,-6.2,0
OBS-00495,Acinetobacter baumannii,Vancomycin,Eastside Medical Center,West District,2025-12,447,97,21.8,22.8,-1.0,23.9,2.6,-0.1,5,2398,-3.2,0
OBS-00496,Acinetobacter baumannii,Vancomycin,North Suburbs Health Zone,West District,2026-06,554,313,56.5,56.2,0.3,55.9,3.1,0.21,1,781,31.5,0
OBS-00497,Klebsiella pneumoniae,Ampicillin,St. Jude General Hospital,West District,2026-03,52,11,20.5,16.5,4.0,16.6,3.0,0.99,1,447,-14.5,0
OBS-00498,Pseudomonas aeruginosa,Colistin,Metro West Community Clinic,East District,2025-12,282,88,31.0,28.0,3.0,27.6,3.5,1.31,5,1597,1.0,1
OBS-00499,Pseudomonas aeruginosa,Meropenem,North Suburbs Health Zone,West District,2026-01,421,151,35.8,34.7,1.1,34.4,2.7,0.42,7,3183,5.8,0
OBS-00500,Klebsiella pneumoniae,Ceftriaxone,University Hospital Center,Metro North,2025-11,281,68,24.3,28.0,-3.7,29.1,3.0,-1.84,5,1739,-10.7,0
OBS-00501,Klebsiella pneumoniae,Vancomycin,Valley Health District,Metro North,2026-05,220,82,37.3,31.7,5.6,32.0,4.6,1.18,1,485,2.3,0
OBS-00502,Enterococcus faecium,Ceftriaxone,Metro West Community Clinic,East District,2026-05,296,63,21.2,21.5,-0.4,22.3,2.7,-0.19,5,1817,-8.8,0
OBS-00503,Escherichia coli,Gentamicin,University Hospital Center,Metro Central,2026-01,527,294,55.7,40.9,14.8,46.1,7.1,4.77,5,3007,15.7,1
OBS-00504,Pseudomonas aeruginosa,Ceftriaxone,Metro West Community Clinic,East District,2026-03,461,110,23.9,27.1,-3.2,25.0,3.1,-1.6,1,573,-6.1,0
OBS-00505,Acinetobacter baumannii,Meropenem,Metro West Community Clinic,Metro North,2026-02,372,165,44.3,38.8,5.5,39.0,4.6,1.09,6,2626,19.3,0
OBS-00506,Staphylococcus aureus,Ciprofloxacin,North Suburbs Health Zone,East District,2026-05,211,29,13.8,18.8,-5.0,16.9,3.1,-2.37,3,1010,-26.2,0
OBS-00507,Enterococcus faecium,Ceftriaxone,Metro West Community Clinic,West District,2025-11,205,56,27.5,24.0,3.5,22.8,4.6,0.88,2,635,-2.5,0
OBS-00508,Pseudomonas aeruginosa,Gentamicin,Eastside Medical Center,West District,2026-02,411,102,24.7,26.4,-1.7,25.7,3.0,0.03,8,3638,-5.3,0
OBS-00509,Klebsiella pneumoniae,Meropenem,St. Jude General Hospital,Metro North,2026-09,297,163,54.8,50.5,4.4,52.9,4.0,1.02,4,1278,19.8,0
OBS-00510,Escherichia coli,Ciprofloxacin,North Suburbs Health Zone,Metro Central,2025-10,576,259,45.0,24.7,20.4,28.4,9.5,6.91,7,4124,5.0,1
OBS-00511,Staphylococcus aureus,Colistin,University Hospital Center,Metro North,2026-09,493,297,60.3,42.6,17.7,47.9,7.0,5.29,5,2835,20.3,1
OBS-00512,Escherichia coli,Gentamicin,Eastside Medical Center,East District,2026-05,593,227,38.3,36.1,2.2,36.5,2.6,0.58,8,4933,-1.7,0
OBS-00513,Enterococcus faecium,Ceftriaxone,University Hospital Center,West District,2026-08,576,147,25.5,28.4,-2.8,27.6,3.8,-0.99,7,4409,-4.5,0
OBS-00514,Pseudomonas aeruginosa,Ampicillin,Metro West Community Clinic,Metro North,2025-11,355,107,30.3,31.6,-1.3,28.9,3.2,-0.43,8,3077,0.3,0
OBS-00515,Escherichia coli,Ciprofloxacin,Metro West Community Clinic,Metro North,2026-03,520,270,51.9,31.3,20.6,33.5,9.9,7.14,5,2923,11.9,1
OBS-00516,Staphylococcus aureus,Colistin,St. Jude General Hospital,West District,2026-02,47,17,36.5,34.3,2.2,33.7,2.2,0.39,4,518,-3.5,0
OBS-00517,Acinetobacter baumannii,Ampicillin,North Suburbs Health Zone,Metro North,2025-12,427,150,35.0,37.3,-2.3,37.9,3.4,-0.17,7,3151,10.0,0
OBS-00518,Klebsiella pneumoniae,Ceftriaxone,Metro West Community Clinic,East District,2026-02,462,203,43.9,42.1,1.8,40.3,3.1,0.68,5,2456,8.9,0
OBS-00519,Pseudomonas aeruginosa,Ciprofloxacin,Valley Health District,West District,2026-07,318,112,35.3,32.0,3.3,31.5,3.0,1.12,8,2912,5.3,0
OBS-00520,Klebsiella pneumoniae,Ciprofloxacin,Metro West Community Clinic,Metro Central,2025-12,328,194,59.1,39.5,19.5,44.6,8.4,6.82,2,843,24.1,0
OBS-00521,Escherichia coli,Meropenem,St. Jude General Hospital,West District,2026-01,470,159,33.9,29.8,4.1,31.6,3.5,0.83,6,3029,-6.1,0
OBS-00522,Pseudomonas aeruginosa,Ampicillin,Valley Health District,Metro Central,2026-03,189,54,28.6,30.5,-1.9,32.7,2.7,-0.42,2,456,-1.4,0
OBS-00523,Acinetobacter baumannii,Ampicillin,University Hospital Center,Metro North,2026-02,52,20,38.4,39.8,-1.5,36.9,1.4,-0.49,7,476,13.4,0
OBS-00524,Staphylococcus aureus,Vancomycin,North Suburbs Health Zone,Metro North,2026-09,243,17,7.1,7.0,0.2,6.0,3.4,0.17,1,528,-32.9,0
OBS-00525,Enterococcus faecium,Meropenem,North Suburbs Health Zone,West District,2026-08,370,105,28.3,22.0,6.3,21.7,3.7,1.99,5,1981,-1.7,0
OBS-00526,Acinetobacter baumannii,Ceftriaxone,St. Jude General Hospital,East District,2026-05,243,93,38.2,35.2,3.0,36.3,4.0,0.72,5,1449,13.2,0
OBS-00527,Klebsiella pneumoniae,Ciprofloxacin,University Hospital Center,West District,2026-03,211,80,38.0,41.3,-3.3,39.0,2.6,0.08,1,402,3.0,0
